Transaction_ID,Product_ID,Store_Location,Quantity_Sold,Sale_Date,Revenue
dce13215-6a76-480a-9fff-7202464454e1,1066,Naomiport,1,2024-06-15,21.7
72056532-b69e-479d-91c4-a9d50248152a,1064,South Antonybury,3,2024-06-05,338.82
6f6e8f4c-d917-43b7-9b82-6d75c392075e,1044,New Teresa,11,2024-10-27,94.88
10b9fdcb-4909-4985-8ce4-55335cc56819,1053,Websterberg,35,2024-02-25,255.85
d7b330db-72e7-4fb0-8983-0664c9d50752,1079,West Samfurt,5,2024-11-09,104.9
4a1a67e6-cbff-403a-83a3-be52d41bc814,1070,New Elizabeth,11,2024-02-21,86.08
a8ccec5e-5981-4dc8-9523-39729f1f0248,1002,Garryhaven,9,2024-10-19,119.79
ba958159-0615-4daa-897e-f3ef46a9e61a,1038,Joannamouth,16,2024-11-02,218.37
6375d66f-8e9b-4a27-955a-74e70119b272,1052,Lake Neiltown,49,2024-01-01,293.91
60af6950-6bbd-4b99-8a3f-ee949f035be1,1021,New Marilyn,32,2024-02-12,395.29
43df4e16-e8af-41a2-adc8-30c9127619a4,1060,Janemouth,36,2024-08-08,288.86
23c5ea5e-d7c1-4f1c-a33f-bca6e6f7fe6f,1073,New Cameronton,41,2024-04-11,424.68
d4f3b5c9-c010-4c18-9aec-306f02c28cde,1034,Rossmouth,38,2024-02-23,481.79
2b022b4a-e79c-4967-9acf-26ac4b903b40,1047,Frederickport,21,2024-01-31,493.5
47b30fd5-1747-44e5-a815-6e1b32e0f92d,1073,Christineborough,23,2024-12-06,201.28
19eede73-03ae-46e5-84e2-26316706a216,1077,Yvonnemouth,1,2024-08-16,204.76
6d55191b-e947-4030-9ac5-9909369cf469,1029,Fullerville,9,2024-10-30,256.89
68ec0046-7e04-4c45-bdb0-c65e614c4df4,1085,East Martynburgh,20,2024-09-27,80.41
af5a6801-2f0d-4d2c-948f-fb46378335e3,1018,Wardtown,24,2024-07-22,33.74
e449ce4a-a638-496b-b2f4-8379f630010f,1084,South Edward,19,2024-02-04,161.26
961cec7a-d506-447c-b962-1f94166c9eaa,1015,Parkesstad,10,2024-05-30,169.22
e50335b9-eb90-4c41-b765-abe6ffb2ce1d,1020,Kyleside,32,2024-07-12,229.44
b381ff3c-5b49-41ba-a5cb-7f767393bb3c,1013,Bakerport,9,2024-01-08,114.83
042930df-8597-45bb-8aa7-723225ca9ef4,1063,Evanstown,26,2024-02-05,172.49
1e13d13f-f10e-44dc-b097-332842397a73,1038,North Julianfort,27,2024-07-18,184.48
d1c4aa3e-dda8-4eb3-8d96-842df0caef6b,1014,North Reece,14,2024-04-11,491.77
e9f61436-c3aa-4fd8-854a-caf893d4dd08,1021,West Sian,11,2024-11-04,380.32
0dea3888-1f29-4928-a889-e97813225361,1022,Wattsside,3,2024-01-29,367.97
